Harry Styles,Jun 26th 2018 , Little Caesar's Arena,Detroit, MI
Maroon 5,Sep 30th 2018 , Little Caesar's Arena,Detroit, MI
Post Malone,May 29th 2018 , Freedom Hill,Detroit, MI
Thomas Rhett,Aug 4th 2018 , Ford Field,Detroit, MI
Khalid,Jun 1st 2018 , MEADOW BROOK AMPHITHEATRE,Detroit, MI
Panic! At The Disco,Jul 14th 2018 , Little Caesars Arena,Detroit, MI
Weezer,Jul 13th 2018 , DTE Energy Music Theatre,Clarkston, MI
Jack White,Apr 19th 2018 , Little Caesars Arena,Detroit, MI
Rob Zombie,Jul 11th 2018 , DTE Energy Music Center,Detroit, MI
Ed Sheeran,Sep 8th 2018 , Ford Field,Detroit, MI
Foo Fighters,Oct 15th 2018 , Little Caesars Arena,Detroit, MI
Kenny Chesney,Aug 4th 2018 , Ford Field - Trip Around The Sun Tour,Detroit, MI
Modest Mouse,May 2nd 2018 , The Fillmore Detroit,Detroit, MI
Slayer,May 27th 2018 , Freedom Hill Amphitheater,Sterling Heights, MI
Papa Roach,Apr 19th 2018 , The Fillmore Detroit,Detroit, MI
Radiohead,Jul 22nd 2018 , Little Caesars Arena,Detroit, MI
Taylor Swift,Aug 28th 2018 , Ford Field,Detroit, MI
Brett Eldredge,May 3rd 2018 , Stranahan Theater & Great Hall,Toledo, OH
